PC1,PC2,PC3,PC4
-0.0467361,-0.0623297,0.260833,0.54418
-0.147292,-0.0771601,0.313867,0.671809
-0.05774,-0.0401289,0.243652,0.824684
-0.121312,-0.0565627,0.323948,0.691445
0.231835,-0.00391712,0.117801,0.378682
0.108554,0.0309674,0.162889,0.513324
0.0373209,-0.0280358,0.181817,0.43899
0.12507,0.0856307,0.158829,0.478261
0.135492,-0.0722877,0.0310196,0.26087
0.118848,-0.0299999,0.0300164,0.26087
0.160453,-0.0777943,0.0340164,0.259467
0.117584,-0.0371765,0.0325925,0.297335
0.212894,-0.0715899,0.0461451,0.293128
-0.051722,0.00720192,0.252343,0.546985
-0.0265253,-0.0354705,0.215025,0.619916
-0.0472295,-0.0409024,0.24621,0.518934
-0.0710196,0.0212395,0.236529,0.600281
-0.0814593,-0.0478006,0.258839,0.486676
-0.374709,0.28528,0.207723,0.31136
-0.416604,-0.100553,0.685141,0.441795
-0.327198,0.233935,0.266749,0.298738
-0.352072,0.0081192,0.437144,0.301543
-0.154782,-0.0876034,0.327631,0.518934
-0.230882,0.120125,0.347239,0.4446
-0.230663,-0.0793593,0.456946,0.409537
-0.176006,-0.0778331,0.362123,0.527349
-0.139204,0.00404117,0.17669,0.426367
-0.0363539,-0.0471001,0.208812,0.642356
-0.0884849,0.0732717,0.235347,0.453015
-0.162648,0.0359768,0.253728,0.447405
-0.000810303,0.0128579,0.187147,0.513324
-0.105335,-0.02567,0.262821,0.412342
0.169088,-0.0287578,0.133761,0.617111
0.1597,-0.0388703,0.147527,0.582048
0.180099,0.0179468,0.13539,0.535764
0.112336,0.0213433,0.161999,0.517532
0.223972,0.193267,0.0602199,0.518934
0.0932412,-2.42E-05,0.172314,0.460028
0.123743,-0.0219028,0.156666,0.41094
0.0690257,-0.0271359,0.186226,0.497896
0.101829,0.0451693,0.169404,0.382889
0.179327,-0.0732458,0.0395934,0.622721
0.292127,-0.0454545,0.0611438,0.443198
0.110785,-0.0474092,0.0359012,0.532959
0.0954179,0.0727799,0.164931,0.447405
0.251215,0.0479879,0.109752,0.42216
0.0742087,-0.0299491,0.159792,0.499299
-0.0415039,-0.0523386,0.22493,0.454418
-0.085543,0.0888285,0.237614,0.757363
-0.105237,-0.0501131,0.272525,0.786816
-0.13736,0.149006,0.263479,0.597475
-0.291208,0.000772271,0.386924,0.673212
-0.257077,-0.106635,0.468906,0.643759
-0.232947,-0.103818,0.428718,0.640954
-0.314029,0.0265504,0.352176,0.576438
-0.0392636,0.000827143,0.230948,0.69425
0.0397744,-0.0607704,0.191346,0.671809
-0.0295967,-0.0141247,0.226406,0.729313
-0.0441963,-0.0592564,0.24794,0.761571
