pca_1,pca_2
-14727.855,-8958.708
-24753.518,-417.76416
-14584.618,-8855.197
-23607.797,-4061.7534
17671.902,-16546.441
5018.734,-14688.657
-4029.6997,-11400.314
5082.386,-14600.366
28777.938,16580.477
26909.166,17878.334
31115.734,14312.736
26802.281,18558.791
32842.14,5214.8667
-17431.904,-5190.243
-13982.912,-7007.055
-17885.992,-4886.5522
-18119.562,-5141.4346
-20062.09,-4478.7144
-15046.804,7670.5815
-23644.594,19452.041
-21638.932,8841.056
-28656.857,14689.217
-25958.078,2260.8691
-27148.344,5332.627
-30563.57,9529.724
-27664.018,4130.16
-5322.729,4887.9287
-12204.804,-7666.9053
-12778.917,-4103.2905
-21475.459,-251.16223
-8155.194,-11536.027
-21168.785,-1483.3761
12543.69,-16855.291
7714.5874,-14874.718
9658.325,-15554.15
1688.3877,-12974.957
30696.156,-2653.281
852.5213,-13111.586
3907.7979,-14003.644
-1998.1415,-13133.531
1151.5093,-12714.655
31212.723,11701.333
32748.492,-5222.6704
27361.95,20345.887
413.50732,-14247.13
17812.832,-15973.882
411.852,-14143.426
-15388.44,-7718.7915
-16590.809,-6272.779
-20001.758,-8194.868
-22490.566,-3266.0776
-29306.793,7893.3174
-31075.074,8072.962
-30984.475,4379.6074
-27111.99,9097.28
-12743.443,-9757.766
-3092.8472,-14896.1
-12624.584,-9361.635
-13970.615,-9241.726
-10043.212,-11433.276
-13482.813,-9566.898
28358.512,17016.379
34732.754,8025.1587
31170.357,8462.986
33145.348,2407.4443
28921.387,11033.77
30448.254,8844.107
26406.25,12895.941
30105.492,2569.0894
31951.549,1525.8268
27152.68,-12887.677
11683.414,-15843.387
3979.1309,-13762.096
-8273.565,-9478.391
9761.721,-11699.765
-22685.23,-416.42798
-5076.833,-5955.8306
9186.323,-14426.166
-1207.9141,-10948.915
-11571.24,-10117.378
-17036.545,-7456.659
3171.2927,-13110.245
-8871.124,-7797.0923
-13006.63,-8774.014
-17545.598,-7919.5127
-26301.367,-2512.085
-26104.498,1655.2815
-27422.826,-1187.9309
-5555.083,-13891.803
-4090.401,-11036.806
-1812.1045,-4179.4126
-15975.476,-4666.9395
-786.924,-1230.4714
-4768.524,-12173.918
-3392.266,-12099.608
30409.906,-1089.103
30023.656,7670.5273
-23491.1,-1141.7511
-20259.203,-6117.898
-8198.932,-10655.833
-16746.773,-3887.3667
-9983.303,-6417.1406
4845.985,-15416.171
-10900.003,5688.7314
5955.3223,16677.084
-16712.299,20094.82
-10583.659,15373.338
-12177.465,13942.893
-16792.982,17797.867
-10127.8955,-12689.376
3388.3354,-16914.46
-29273.584,4531.6167
-31062.727,9552.92
-27846.348,826.0834
-29492.254,4087.954
-30627.2,9882.465
-30324.346,10780.081
3869.8367,-12464.983
7893.089,-14134.376
2818.14,-12841.604
-20804.824,-5742.6494
-9005.454,-11413.065
-7716.1113,-10906.721
-6811.7236,-11632.63
6824.733,-13374.719
-26280.955,2287.5781
-24076.049,-1201.2816
-29562.48,8528.28
-23380.105,-2819.5808
-25727.844,-1713.0022
-13585.265,-8293.057
-12522.209,-7758.0967
-17918.213,-6272.515
-11005.73,-7050.9277
-22503.762,917.5869
-30227.895,2707.3123
-26286.705,1391.1709
-28210.758,2583.4458
-30328.951,6162.6035
-25799.078,-972.80505
-1124.8376,13759.873
5828.466,5897.672
-4338.656,8081.575
460.36926,9672.667
-4756.6553,8855.688
-15360.349,5247.7207
11692.721,-13192.521
1766.4663,-14304.445
-8402.061,-9355.577
-8788.45,-9608.863
-12523.617,-8290.209
-20314.96,-3531.5542
-13212.543,-9268.094
3927.6877,-16446.805
27122.545,-12758.005
26638.91,-13416.346
24183.986,-14550.312
31939.09,-11967.541
23481.568,-14528.759
29243.127,-12948.004
-20910.47,7976.009
-16125.423,-461.89337
-26815.234,9162.3545
-30183.959,12474.772
-27135.59,2776.9956
-29772.602,11035.24
33394.875,-6645.186
35685.16,-4735.992
33992.688,-10682.641
34078.555,-5431.8003
24180.762,-5028.829
-8402.355,-9277.83
-14461.208,-6730.728
2994.909,-10729.265
-25428.49,-1002.9413
-6731.7686,-9997.765
-6919.82,-11279.988
-15108.436,-5354.2646
-13005.175,-7985.5107
-897.6235,-13373.148
27111.242,-12887.536
13269.165,-15878.009
24405.502,-13576.654
1878.5417,-12676.893
16492.121,-14526.945
33491.39,-10788.135
20468.166,-16936.215
31562.504,-11875.713
14874.779,-16951.908
34045.723,-8793.731
-25305.223,18282.322
-12489.45,16550.672
-6004.782,19664.184
-8514.521,-11746.661
-22226.592,-2908.4358
-19356.102,-1037.6495
260.29828,-13481.503
-19566.11,-6151.575
-22706.004,-1707.3247
34696.047,-11352.966
31959.49,-2342.9717
27734.717,15238.906
31325.646,-5853.7383
31456.152,463.5443
32917.867,-5607.1333
1257.8223,-15072.153
-7725.469,-10607.5
-3421.1836,-12247.236
-4841.0654,-11511.665
8282.045,-16412.81
16029.414,-16586.592
13848.128,-15786.224
-7954.921,-6494.4897
-10078.545,-8666.772
21594.41,-16387.234
25048.762,-15313.409
-6690.968,-10047.566
1746.0382,-13782.431
-1637.1824,-12711.888
-16134.69,-7643.506
-2901.0352,-12140.745
19253.523,-12534.068
-16467.568,-5346.8477
-25902.395,2925.0723
-24086.94,-2441.003
-21295.754,-3672.9604
-21547.688,-3383.079
-24841.88,-290.49548
-19700.648,-6210.004
-21451.969,-5475.6035
-27057.2,-737.89453
-23821.873,-5255.116
-20197.08,-2869.1863
-24674.096,-1562.1854
-18067.092,-2059.7158
-17581.88,-6275.9414
-23211.7,-3141.9397
-24425.363,1143.0564
-14878.079,-6376.5723
-19091.84,-3939.6458
-25349.086,1608.087
-30010.469,8818.245
-30813.238,10139.918
-17863.39,-3125.3894
-30340.129,5956.284
24878.975,-16176.464
32022.375,-11753.827
18461.492,-16170.609
32606.766,-9963.405
20965.352,-16893.45
14791.209,-15552.104
2209.1165,-15763.925
4985.0093,-12115.842
25178.799,-10974.647
