Date,Contest number,Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Day of Week,MS
1/7/2022,202,slump,80630,1362,1,3,23,39,24,9,1,Friday,4.13
1/8/2022,203,crank,101503,1763,1,5,23,31,24,14,2,Saturday,4.22
1/9/2022,204,gorge,91477,1913,1,3,13,27,30,22,4,Sunday,4.64
1/10/2022,205,query,107134,2242,1,4,16,30,30,17,2,Monday,4.43
1/11/2022,206,drink,153880,3017,1,9,35,34,16,5,1,Tuesday,3.77
1/12/2022,207,favor,137586,3073,1,4,15,26,29,21,4,Wednesday,4.57
1/13/2022,208,abbey,132726,3345,1,2,13,29,31,20,3,Thursday,4.56
1/14/2022,209,tangy,169484,3985,1,4,21,30,24,15,5,Friday,4.37
1/15/2022,210,panic,205880,4655,1,9,35,34,16,5,1,Saturday,3.77
1/16/2022,211,solar,209609,4955,1,9,32,32,18,7,1,Sunday,3.82
1/17/2022,212,shire,222197,5640,1,8,32,32,18,8,2,Monday,3.93
1/18/2022,213,proxy,220950,6206,1,2,11,24,31,26,6,Tuesday,4.87
1/19/2022,214,point,280622,7094,1,16,37,28,12,4,1,Wednesday,3.47
1/20/2022,215,robot,243964,6589,1,8,29,34,20,8,1,Thursday,3.95
1/21/2022,216,prick,273727,7409,1,8,30,33,19,7,1,Friday,3.83
1/22/2022,217,wince,241489,6850,1,3,17,33,29,15,3,Saturday,4.46
1/23/2022,218,crimp,269929,7630,1,5,28,38,20,7,1,Sunday,3.96
1/24/2022,219,knoll,258038,8317,1,1,11,29,33,21,4,Monday,4.71
1/25/2022,220,sugar,276404,8708,1,6,25,34,23,9,1,Tuesday,4
1/26/2022,221,whack,302348,10163,1,4,22,37,24,10,2,Wednesday,4.17
1/27/2022,222,mount,331844,11451,1,9,29,33,19,7,1,Thursday,3.82
1/28/2022,223,perky,296968,11148,1,4,17,30,27,17,4,Friday,4.45
1/29/2022,224,could,313220,11592,1,7,29,35,20,8,1,Saturday,3.97
1/30/2022,225,wrung,294687,11524,0,2,18,39,27,12,2,Sunday,4.36
1/31/2022,226,light,341314,13347,1,10,25,27,19,12,5,Monday,4.06
2/1/2022,227,those,351663,13606,1,13,34,30,15,6,1,Tuesday,3.67
2/2/2022,228,moist,361908,14205,3,13,32,29,16,7,1,Wednesday,3.68
